,class,file_name,path,length_min,size_MB,SNR
0,Narwhal,7501400L.wav,./content/data/Narwhal/7501400L.wav,0.023633408919123203,0.2216014862060547,0.041812555864453316
1,Narwhal,68003007.wav,./content/data/Narwhal/68003007.wav,0.029922146636432348,0.1403026580810547,0.11880792677402496
2,Narwhal,7501400U.wav,./content/data/Narwhal/7501400U.wav,0.023633408919123203,0.2216014862060547,1.334957778453827
3,Narwhal,7501400E.wav,./content/data/Narwhal/7501400E.wav,0.023633408919123203,0.2216014862060547,0.30583152547478676
4,Narwhal,6800200A.wav,./content/data/Narwhal/6800200A.wav,0.023633408919123203,0.2216014862060547,0.06741131190210581
5,Narwhal,6800300B.wav,./content/data/Narwhal/6800300B.wav,0.023633408919123203,0.11082267761230469,0.0785263441503048
6,Narwhal,75014011.wav,./content/data/Narwhal/75014011.wav,0.023633408919123203,0.2216014862060547,0.4832311347126961
7,Narwhal,68003009.wav,./content/data/Narwhal/68003009.wav,0.03421919879062736,0.1604442596435547,0.14013154432177544
8,Narwhal,75014009.wav,./content/data/Narwhal/75014009.wav,0.023633408919123203,0.2216014862060547,0.19656693562865257
9,Narwhal,68002004.wav,./content/data/Narwhal/68002004.wav,0.023633408919123203,0.2216014862060547,0.12160384096205235
10,Narwhal,68002001.wav,./content/data/Narwhal/68002001.wav,0.023633408919123203,0.2216014862060547,0.3727240487933159
11,Narwhal,65011004.wav,./content/data/Narwhal/65011004.wav,0.023633408919123203,0.2216014862060547,0.24245813488960266
12,Narwhal,7501400Z.wav,./content/data/Narwhal/7501400Z.wav,0.023633408919123203,0.2216014862060547,0.5269969999790192
13,Narwhal,75014018.wav,./content/data/Narwhal/75014018.wav,0.023633408919123203,0.2216014862060547,1.0474104434251785
14,Narwhal,6800200C.wav,./content/data/Narwhal/6800200C.wav,0.023633408919123203,0.2216014862060547,0.33766724169254303
15,Narwhal,68002002.wav,./content/data/Narwhal/68002002.wav,0.023633408919123203,0.2216014862060547,0.19288795068860054
16,Narwhal,68003002.wav,./content/data/Narwhal/68003002.wav,0.011817082388510959,0.05543327331542969,0.16781261190772057
17,Narwhal,65011002.wav,./content/data/Narwhal/65011002.wav,0.023633408919123203,0.2216014862060547,0.15037466771900654
18,Narwhal,6804000K.wav,./content/data/Narwhal/6804000K.wav,0.008374149659863946,0.058116912841796875,0.10483011603355408
19,Narwhal,68003006.wav,./content/data/Narwhal/68003006.wav,0.029922146636432348,0.1403026580810547,0.16828974708914757
20,Narwhal,68005004.wav,./content/data/Narwhal/68005004.wav,0.012891156462585034,0.030256271362304688,1.1942874640226364
21,Narwhal,65011005.wav,./content/data/Narwhal/65011005.wav,0.023633408919123203,0.2216014862060547,0.10802693665027618
22,Narwhal,7501400B.wav,./content/data/Narwhal/7501400B.wav,0.023633408919123203,0.2216014862060547,0.11410944163799286
23,Narwhal,7501400X.wav,./content/data/Narwhal/7501400X.wav,0.023633408919123203,0.2216014862060547,1.391771286725998
24,Narwhal,6804000S.wav,./content/data/Narwhal/6804000S.wav,0.052990173847316704,0.3675346374511719,0.07761970162391663
25,Narwhal,7501400M.wav,./content/data/Narwhal/7501400M.wav,0.023633408919123203,0.2216014862060547,0.07921472191810608
26,Narwhal,7501400S.wav,./content/data/Narwhal/7501400S.wav,0.023633408919123203,0.2216014862060547,0.5803133174777031
27,Narwhal,75014008.wav,./content/data/Narwhal/75014008.wav,0.023633408919123203,0.2216014862060547,0.1340101007372141
28,Narwhal,68002005.wav,./content/data/Narwhal/68002005.wav,0.023633408919123203,0.2216014862060547,0.17737993970513344
29,Narwhal,7501400O.wav,./content/data/Narwhal/7501400O.wav,0.023633408919123203,0.2216014862060547,0.2336391806602478
30,Narwhal,7501400K.wav,./content/data/Narwhal/7501400K.wav,0.023633408919123203,0.2216014862060547,0.3259707987308502
31,Narwhal,6804000M.wav,./content/data/Narwhal/6804000M.wav,0.02018745275888133,0.14004135131835938,0.1938045211136341
32,Narwhal,7501400R.wav,./content/data/Narwhal/7501400R.wav,0.023633408919123203,0.2216014862060547,0.2348012663424015
33,Narwhal,65011009.wav,./content/data/Narwhal/65011009.wav,0.023633408919123203,0.2216014862060547,0.40090277791023254
34,Narwhal,75014004.wav,./content/data/Narwhal/75014004.wav,0.023633408919123203,0.2216014862060547,0.06320489570498466
35,Narwhal,68002007.wav,./content/data/Narwhal/68002007.wav,0.023633408919123203,0.2216014862060547,0.19773947075009346
36,Narwhal,6804000F.wav,./content/data/Narwhal/6804000F.wav,0.005107331821617536,0.035457611083984375,0.106373755261302
37,Narwhal,7501400H.wav,./content/data/Narwhal/7501400H.wav,0.023633408919123203,0.2216014862060547,0.11798018589615822
